ID,Seek_Help,Anonymity,Leave,Mental_Health_Consequence,Phys_Health_Consequence,Coworkers,Supervisor,Willingness_Mental_Health,Phys_Health_Interview,Mental_vs_Physical,Obs_Consequence,Age_Tier
0,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
1,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Matured_Young
2,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,Matured_Young
3,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,Young
4,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No,Young
5,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,Matured_Young
6,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Matured_Young
7,No,Yes,Don't know,No,No,No,No,No,No,No,No,Matured_Young
8,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,Matured_Young
9,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
10,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
11,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,Young
12,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,Matured_Young
13,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,Matured_Young
14,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,Young
15,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,Young
16,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,Young
17,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,Matured_Young
18,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,Middle_Aged
19,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Matured_Young
20,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,Young
21,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,Young
22,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,Middle_Aged
23,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No,Matured_Young
24,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No,Matured_Young
25,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,Matured_Young
26,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Matured_Young
27,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Matured_Young
28,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No,Matured_Young
29,No,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No,Matured_Young
30,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,Matured_Young
31,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,Young
32,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Don't know,No,Young
